"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetrenych","populace"
"2010","Z",66015000.0,"15–19 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",9856.0,27002.0
"2010","Z",66015000.0,"15–19 let","CZ0201","Benesov","CZ020","Stredocesky kraj",986.0,2635.0
"2010","Z",66015000.0,"15–19 let","CZ0202","Beroun","CZ020","Stredocesky kraj",733.0,2122.0
"2010","Z",66015000.0,"15–19 let","CZ0203","Kladno","CZ020","Stredocesky kraj",1641.0,4294.0
"2010","Z",66015000.0,"15–19 let","CZ0204","Kolin","CZ020","Stredocesky kraj",941.0,2417.0
"2010","Z",66015000.0,"15–19 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",861.0,2121.0
"2010","Z",66015000.0,"15–19 let","CZ0206","Melnik","CZ020","Stredocesky kraj",1174.0,2763.0
"2010","Z",66015000.0,"15–19 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",1399.0,3245.0
"2010","Z",66015000.0,"15–19 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",916.0,2518.0
"2010","Z",66015000.0,"15–19 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",1382.0,3633.0
"2010","Z",66015000.0,"15–19 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",1098.0,3062.0
"2010","Z",66015000.0,"15–19 let","CZ020B","Pribram","CZ020","Stredocesky kraj",1153.0,3003.0
"2010","Z",66015000.0,"15–19 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",584.0,1554.0
"2010","Z",66015000.0,"15–19 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",2148.0,5103.0
"2010","Z",66015000.0,"15–19 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",742.0,1766.0
"2010","Z",66015000.0,"15–19 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",1031.0,2714.0
"2010","Z",66015000.0,"15–19 let","CZ0314","Pisek","CZ031","Jihocesky kraj",614.0,1866.0
"2010","Z",66015000.0,"15–19 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",457.0,1453.0
"2010","Z",66015000.0,"15–19 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",697.0,1881.0
"2010","Z",66015000.0,"15–19 let","CZ0317","Tabor","CZ031","Jihocesky kraj",1260.0,2819.0
"2010","Z",66015000.0,"15–19 let","CZ0321","Domazlice","CZ032","Plzensky kraj",678.0,1699.0
"2010","Z",66015000.0,"15–19 let","CZ0322","Klatovy","CZ032","Plzensky kraj",829.0,2392.0
"2010","Z",66015000.0,"15–19 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",1760.0,4154.0
"2010","Z",66015000.0,"15–19 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",608.0,1662.0
"2010","Z",66015000.0,"15–19 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",869.0,2113.0
"2010","Z",66015000.0,"15–19 let","CZ0326","Rokycany","CZ032","Plzensky kraj",524.0,1249.0
"2010","Z",66015000.0,"15–19 let","CZ0327","Tachov","CZ032","Plzensky kraj",596.0,1551.0
"2010","Z",66015000.0,"15–19 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",900.0,2573.0
"2010","Z",66015000.0,"15–19 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",1159.0,3119.0
"2010","Z",66015000.0,"15–19 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",977.0,2834.0
"2010","Z",66015000.0,"15–19 let","CZ0421","Decin","CZ042","Ustecky kraj",1366.0,3793.0
"2010","Z",66015000.0,"15–19 let","CZ0422","Chomutov","CZ042","Ustecky kraj",1260.0,3541.0
"2010","Z",66015000.0,"15–19 let","CZ0423","Litomerice","CZ042","Ustecky kraj",1255.0,3294.0
"2010","Z",66015000.0,"15–19 let","CZ0424","Louny","CZ042","Ustecky kraj",817.0,2477.0
"2010","Z",66015000.0,"15–19 let","CZ0425","Most","CZ042","Ustecky kraj",1265.0,3369.0
"2010","Z",66015000.0,"15–19 let","CZ0426","Teplice","CZ042","Ustecky kraj",1154.0,3664.0
"2010","Z",66015000.0,"15–19 let","CZ0427","Usti nad Labem","CZ042","Ustecky kraj",1207.0,3422.0
"2010","Z",66015000.0,"15–19 let","CZ0511","Ceska Lipa","CZ051","Liberecky kraj",1161.0,3016.0
"2010","Z",66015000.0,"15–19 let","CZ0512","Jablonec nad Nisou","CZ051","Liberecky kraj",1020.0,2476.0
"2010","Z",66015000.0,"15–19 let","CZ0513","Liberec","CZ051","Liberecky kraj",1621.0,4572.0
"2010","Z",66015000.0,"15–19 let","CZ0514","Semily","CZ051","Liberecky kraj",797.0,2130.0
"2010","Z",66015000.0,"15–19 let","CZ0521","Hradec Kralove","CZ052","Kralovehradecky kraj",1798.0,4338.0
"2010","Z",66015000.0,"15–19 let","CZ0522","Jicin","CZ052","Kralovehradecky kraj",848.0,2207.0
"2010","Z",66015000.0,"15–19 let","CZ0523","Nachod","CZ052","Kralovehradecky kraj",1243.0,3163.0
"2010","Z",66015000.0,"15–19 let","CZ0524","Rychnov nad Kneznou","CZ052","Kralovehradecky kraj",892.0,2254.0
"2010","Z",66015000.0,"15–19 let","CZ0525","Trutnov","CZ052","Kralovehradecky kraj",1237.0,3237.0
"2010","Z",66015000.0,"15–19 let","CZ0531","Chrudim","CZ053","Pardubicky kraj",1183.0,3011.0
"2010","Z",66015000.0,"15–19 let","CZ0532","Pardubice","CZ053","Pardubicky kraj",1719.0,4217.0
"2010","Z",66015000.0,"15–19 let","CZ0533","Svitavy","CZ053","Pardubicky kraj",930.0,3123.0
"2010","Z",66015000.0,"15–19 let","CZ0534","Usti nad Orlici","CZ053","Pardubicky kraj",1442.0,4119.0
"2010","Z",66015000.0,"15–19 let","CZ0631","Havlickuv Brod","CZ063","Vysocina",930.0,2672.0
"2010","Z",66015000.0,"15–19 let","CZ0632","Jihlava","CZ063","Vysocina",902.0,3119.0
"2010","Z",66015000.0,"15–19 let","CZ0633","Pelhrimov","CZ063","Vysocina",713.0,2012.0
"2010","Z",66015000.0,"15–19 let","CZ0634","Trebic","CZ063","Vysocina",1179.0,3517.0
"2010","Z",66015000.0,"15–19 let","CZ0635","Zdar nad Sazavou","CZ063","Vysocina",1267.0,3824.0
"2010","Z",66015000.0,"15–19 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",1027.0,3079.0
"2010","Z",66015000.0,"15–19 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",3224.0,8491.0
"2010","Z",66015000.0,"15–19 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",2008.0,5604.0
"2010","Z",66015000.0,"15–19 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",1256.0,3329.0
"2010","Z",66015000.0,"15–19 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",1274.0,4574.0
"2010","Z",66015000.0,"15–19 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",843.0,2573.0
"2010","Z",66015000.0,"15–19 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",1256.0,3504.0
"2010","Z",66015000.0,"15–19 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",319.0,1215.0
"2010","Z",66015000.0,"15–19 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",2465.0,6355.0
"2010","Z",66015000.0,"15–19 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",1140.0,2956.0
"2010","Z",66015000.0,"15–19 let","CZ0714","Prerov","CZ071","Olomoucky kraj",1252.0,3828.0
"2010","Z",66015000.0,"15–19 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",1374.0,3706.0
"2010","Z",66015000.0,"15–19 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",1085.0,3087.0
"2010","Z",66015000.0,"15–19 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",1442.0,4109.0
"2010","Z",66015000.0,"15–19 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",1233.0,4308.0
"2010","Z",66015000.0,"15–19 let","CZ0724","Zlin","CZ072","Zlinsky kraj",1724.0,5197.0
"2010","Z",66015000.0,"15–19 let","CZ0801","Bruntal","CZ080","Moravskoslezsky kraj",1045.0,3020.0
"2010","Z",66015000.0,"15–19 let","CZ0802","Frydek-Mistek","CZ080","Moravskoslezsky kraj",1828.0,6229.0
"2010","Z",66015000.0,"15–19 let","CZ0803","Karvina","CZ080","Moravskoslezsky kraj",1300.0,7979.0
"2010","Z",66015000.0,"15–19 let","CZ0804","Novy Jicin","CZ080","Moravskoslezsky kraj",1449.0,4652.0
"2010","Z",66015000.0,"15–19 let","CZ0805","Opava","CZ080","Moravskoslezsky kraj",1526.0,5010.0
"2010","Z",66015000.0,"15–19 let","CZ0806","Ostrava-mesto","CZ080","Moravskoslezsky kraj",2829.0,9012.0
"2010","Z",66020000.0,"20–24 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",22734.0,38981.0
"2010","Z",66020000.0,"20–24 let","CZ0201","Benesov","CZ020","Stredocesky kraj",1668.0,2832.0
"2010","Z",66020000.0,"20–24 let","CZ0202","Beroun","CZ020","Stredocesky kraj",1551.0,2427.0
"2010","Z",66020000.0,"20–24 let","CZ0203","Kladno","CZ020","Stredocesky kraj",3023.0,4860.0
"2010","Z",66020000.0,"20–24 let","CZ0204","Kolin","CZ020","Stredocesky kraj",1821.0,2901.0
"2010","Z",66020000.0,"20–24 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",1464.0,2324.0
"2010","Z",66020000.0,"20–24 let","CZ0206","Melnik","CZ020","Stredocesky kraj",2030.0,3211.0
"2010","Z",66020000.0,"20–24 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",2613.0,3884.0
"2010","Z",66020000.0,"20–24 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",1698.0,2806.0
"2010","Z",66020000.0,"20–24 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",2733.0,4008.0
"2010","Z",66020000.0,"20–24 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",2159.0,3254.0
"2010","Z",66020000.0,"20–24 let","CZ020B","Pribram","CZ020","Stredocesky kraj",2097.0,3576.0
"2010","Z",66020000.0,"20–24 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",1028.0,1833.0
"2010","Z",66020000.0,"20–24 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",4041.0,6012.0
"2010","Z",66020000.0,"20–24 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",1175.0,2063.0
"2010","Z",66020000.0,"20–24 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",1555.0,2971.0
"2010","Z",66020000.0,"20–24 let","CZ0314","Pisek","CZ031","Jihocesky kraj",1245.0,2239.0
"2010","Z",66020000.0,"20–24 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",893.0,1714.0
"2010","Z",66020000.0,"20–24 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",1276.0,2265.0
"2010","Z",66020000.0,"20–24 let","CZ0317","Tabor","CZ031","Jihocesky kraj",2093.0,3228.0
"2010","Z",66020000.0,"20–24 let","CZ0321","Domazlice","CZ032","Plzensky kraj",1169.0,1968.0
"2010","Z",66020000.0,"20–24 let","CZ0322","Klatovy","CZ032","Plzensky kraj",1421.0,2698.0
"2010","Z",66020000.0,"20–24 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",3619.0,5556.0
"2010","Z",66020000.0,"20–24 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",1050.0,1809.0
"2010","Z",66020000.0,"20–24 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",1464.0,2405.0
"2010","Z",66020000.0,"20–24 let","CZ0326","Rokycany","CZ032","Plzensky kraj",896.0,1506.0
"2010","Z",66020000.0,"20–24 let","CZ0327","Tachov","CZ032","Plzensky kraj",1044.0,1927.0
"2010","Z",66020000.0,"20–24 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",1441.0,3192.0
"2010","Z",66020000.0,"20–24 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",1955.0,3851.0
"2010","Z",66020000.0,"20–24 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",1633.0,3258.0
"2010","Z",66020000.0,"20–24 let","CZ0421","Decin","CZ042","Ustecky kraj",2060.0,4279.0
"2010","Z",66020000.0,"20–24 let","CZ0422","Chomutov","CZ042","Ustecky kraj",2247.0,4381.0
"2010","Z",66020000.0,"20–24 let","CZ0423","Litomerice","CZ042","Ustecky kraj",2109.0,3564.0
"2010","Z",66020000.0,"20–24 let","CZ0424","Louny","CZ042","Ustecky kraj",1515.0,2855.0
"2010","Z",66020000.0,"20–24 let","CZ0425","Most","CZ042","Ustecky kraj",1959.0,3921.0
"2010","Z",66020000.0,"20–24 let","CZ0426","Teplice","CZ042","Ustecky kraj",2011.0,4168.0
"2010","Z",66020000.0,"20–24 let","CZ0427","Usti nad Labem","CZ042","Ustecky kraj",2133.0,3757.0
"2010","Z",66020000.0,"20–24 let","CZ0511","Ceska Lipa","CZ051","Liberecky kraj",1922.0,3579.0
"2010","Z",66020000.0,"20–24 let","CZ0512","Jablonec nad Nisou","CZ051","Liberecky kraj",1591.0,2845.0
"2010","Z",66020000.0,"20–24 let","CZ0513","Liberec","CZ051","Liberecky kraj",3135.0,5514.0
"2010","Z",66020000.0,"20–24 let","CZ0514","Semily","CZ051","Liberecky kraj",1369.0,2386.0
"2010","Z",66020000.0,"20–24 let","CZ0521","Hradec Kralove","CZ052","Kralovehradecky kraj",3181.0,4993.0
"2010","Z",66020000.0,"20–24 let","CZ0522","Jicin","CZ052","Kralovehradecky kraj",1444.0,2515.0
"2010","Z",66020000.0,"20–24 let","CZ0523","Nachod","CZ052","Kralovehradecky kraj",2096.0,3616.0
"2010","Z",66020000.0,"20–24 let","CZ0524","Rychnov nad Kneznou","CZ052","Kralovehradecky kraj",1470.0,2542.0
"2010","Z",66020000.0,"20–24 let","CZ0525","Trutnov","CZ052","Kralovehradecky kraj",2073.0,3718.0
"2010","Z",66020000.0,"20–24 let","CZ0531","Chrudim","CZ053","Pardubicky kraj",2184.0,3522.0
"2010","Z",66020000.0,"20–24 let","CZ0532","Pardubice","CZ053","Pardubicky kraj",3414.0,5254.0
"2010","Z",66020000.0,"20–24 let","CZ0533","Svitavy","CZ053","Pardubicky kraj",1844.0,3363.0
"2010","Z",66020000.0,"20–24 let","CZ0534","Usti nad Orlici","CZ053","Pardubicky kraj",2604.0,4577.0
"2010","Z",66020000.0,"20–24 let","CZ0631","Havlickuv Brod","CZ063","Vysocina",1628.0,3053.0
"2010","Z",66020000.0,"20–24 let","CZ0632","Jihlava","CZ063","Vysocina",2099.0,3547.0
"2010","Z",66020000.0,"20–24 let","CZ0633","Pelhrimov","CZ063","Vysocina",1306.0,2262.0
"2010","Z",66020000.0,"20–24 let","CZ0634","Trebic","CZ063","Vysocina",2068.0,3926.0
"2010","Z",66020000.0,"20–24 let","CZ0635","Zdar nad Sazavou","CZ063","Vysocina",2206.0,4073.0
"2010","Z",66020000.0,"20–24 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",1875.0,3374.0
"2010","Z",66020000.0,"20–24 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",7464.0,11315.0
"2010","Z",66020000.0,"20–24 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",4123.0,6190.0
"2010","Z",66020000.0,"20–24 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",2137.0,3644.0
"2010","Z",66020000.0,"20–24 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",2221.0,5150.0
"2010","Z",66020000.0,"20–24 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",1758.0,2859.0
"2010","Z",66020000.0,"20–24 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",2154.0,3753.0
"2010","Z",66020000.0,"20–24 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",549.0,1356.0
"2010","Z",66020000.0,"20–24 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",4641.0,7677.0
"2010","Z",66020000.0,"20–24 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",2080.0,3444.0
"2010","Z",66020000.0,"20–24 let","CZ0714","Prerov","CZ071","Olomoucky kraj",2326.0,4420.0
"2010","Z",66020000.0,"20–24 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",2358.0,4130.0
"2010","Z",66020000.0,"20–24 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",1988.0,3512.0
"2010","Z",66020000.0,"20–24 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",2631.0,4689.0
"2010","Z",66020000.0,"20–24 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",2368.0,4885.0
"2010","Z",66020000.0,"20–24 let","CZ0724","Zlin","CZ072","Zlinsky kraj",3562.0,6079.0
"2010","Z",66020000.0,"20–24 let","CZ0801","Bruntal","CZ080","Moravskoslezsky kraj",1717.0,3338.0
"2010","Z",66020000.0,"20–24 let","CZ0802","Frydek-Mistek","CZ080","Moravskoslezsky kraj",3583.0,7149.0
"2010","Z",66020000.0,"20–24 let","CZ0803","Karvina","CZ080","Moravskoslezsky kraj",2320.0,9265.0
"2010","Z",66020000.0,"20–24 let","CZ0804","Novy Jicin","CZ080","Moravskoslezsky kraj",2526.0,5253.0
"2010","Z",66020000.0,"20–24 let","CZ0805","Opava","CZ080","Moravskoslezsky kraj",3101.0,6037.0
"2010","Z",66020000.0,"20–24 let","CZ0806","Ostrava-mesto","CZ080","Moravskoslezsky kraj",5447.0,11228.0
"2010","Z",66025000.0,"25–29 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",27454.0,48252.0
"2010","Z",66025000.0,"25–29 let","CZ0201","Benesov","CZ020","Stredocesky kraj",1964.0,3192.0
"2010","Z",66025000.0,"25–29 let","CZ0202","Beroun","CZ020","Stredocesky kraj",1994.0,2891.0
"2010","Z",66025000.0,"25–29 let","CZ0203","Kladno","CZ020","Stredocesky kraj",3515.0,5270.0
"2010","Z",66025000.0,"25–29 let","CZ0204","Kolin","CZ020","Stredocesky kraj",2061.0,3293.0
"2010","Z",66025000.0,"25–29 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",1528.0,2522.0
"2010","Z",66025000.0,"25–29 let","CZ0206","Melnik","CZ020","Stredocesky kraj",2197.0,3410.0
"2010","Z",66025000.0,"25–29 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",2936.0,4441.0
"2010","Z",66025000.0,"25–29 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",2063.0,3097.0
"2010","Z",66025000.0,"25–29 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",3760.0,4894.0
"2010","Z",66025000.0,"25–29 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",3041.0,3924.0
"2010","Z",66025000.0,"25–29 let","CZ020B","Pribram","CZ020","Stredocesky kraj",2299.0,3804.0
"2010","Z",66025000.0,"25–29 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",1143.0,1842.0
"2010","Z",66025000.0,"25–29 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",4367.0,6357.0
"2010","Z",66025000.0,"25–29 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",1310.0,2136.0
"2010","Z",66025000.0,"25–29 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",1832.0,3023.0
"2010","Z",66025000.0,"25–29 let","CZ0314","Pisek","CZ031","Jihocesky kraj",1298.0,2205.0
"2010","Z",66025000.0,"25–29 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",948.0,1727.0
"2010","Z",66025000.0,"25–29 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",1385.0,2343.0
"2010","Z",66025000.0,"25–29 let","CZ0317","Tabor","CZ031","Jihocesky kraj",2222.0,3352.0
"2010","Z",66025000.0,"25–29 let","CZ0321","Domazlice","CZ032","Plzensky kraj",1138.0,1911.0
"2010","Z",66025000.0,"25–29 let","CZ0322","Klatovy","CZ032","Plzensky kraj",1487.0,2855.0
"2010","Z",66025000.0,"25–29 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",4052.0,6735.0
"2010","Z",66025000.0,"25–29 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",1250.0,1969.0
"2010","Z",66025000.0,"25–29 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",1668.0,2523.0
"2010","Z",66025000.0,"25–29 let","CZ0326","Rokycany","CZ032","Plzensky kraj",1044.0,1619.0
"2010","Z",66025000.0,"25–29 let","CZ0327","Tachov","CZ032","Plzensky kraj",1004.0,1847.0
"2010","Z",66025000.0,"25–29 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",1484.0,3162.0
"2010","Z",66025000.0,"25–29 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",1964.0,4017.0
"2010","Z",66025000.0,"25–29 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",1668.0,3182.0
"2010","Z",66025000.0,"25–29 let","CZ0421","Decin","CZ042","Ustecky kraj",2182.0,4365.0
"2010","Z",66025000.0,"25–29 let","CZ0422","Chomutov","CZ042","Ustecky kraj",2385.0,4464.0
"2010","Z",66025000.0,"25–29 let","CZ0423","Litomerice","CZ042","Ustecky kraj",2330.0,3781.0
"2010","Z",66025000.0,"25–29 let","CZ0424","Louny","CZ042","Ustecky kraj",1573.0,2947.0
"2010","Z",66025000.0,"25–29 let","CZ0425","Most","CZ042","Ustecky kraj",2058.0,3874.0
"2010","Z",66025000.0,"25–29 let","CZ0426","Teplice","CZ042","Ustecky kraj",2054.0,4261.0
"2010","Z",66025000.0,"25–29 let","CZ0427","Usti nad Labem","CZ042","Ustecky kraj",2336.0,4012.0
"2010","Z",66025000.0,"25–29 let","CZ0511","Ceska Lipa","CZ051","Liberecky kraj",2099.0,3665.0
"2010","Z",66025000.0,"25–29 let","CZ0512","Jablonec nad Nisou","CZ051","Liberecky kraj",1854.0,3030.0
"2010","Z",66025000.0,"25–29 let","CZ0513","Liberec","CZ051","Liberecky kraj",3441.0,5774.0
"2010","Z",66025000.0,"25–29 let","CZ0514","Semily","CZ051","Liberecky kraj",1364.0,2342.0
"2010","Z",66025000.0,"25–29 let","CZ0521","Hradec Kralove","CZ052","Kralovehradecky kraj",3496.0,5451.0
"2010","Z",66025000.0,"25–29 let","CZ0522","Jicin","CZ052","Kralovehradecky kraj",1653.0,2694.0
"2010","Z",66025000.0,"25–29 let","CZ0523","Nachod","CZ052","Kralovehradecky kraj",2084.0,3550.0
"2010","Z",66025000.0,"25–29 let","CZ0524","Rychnov nad Kneznou","CZ052","Kralovehradecky kraj",1587.0,2578.0
"2010","Z",66025000.0,"25–29 let","CZ0525","Trutnov","CZ052","Kralovehradecky kraj",2157.0,3766.0
"2010","Z",66025000.0,"25–29 let","CZ0531","Chrudim","CZ053","Pardubicky kraj",2166.0,3434.0
"2010","Z",66025000.0,"25–29 let","CZ0532","Pardubice","CZ053","Pardubicky kraj",3679.0,5676.0
"2010","Z",66025000.0,"25–29 let","CZ0533","Svitavy","CZ053","Pardubicky kraj",2025.0,3490.0
"2010","Z",66025000.0,"25–29 let","CZ0534","Usti nad Orlici","CZ053","Pardubicky kraj",2570.0,4559.0
"2010","Z",66025000.0,"25–29 let","CZ0631","Havlickuv Brod","CZ063","Vysocina",1822.0,3264.0
"2010","Z",66025000.0,"25–29 let","CZ0632","Jihlava","CZ063","Vysocina",2265.0,3797.0
"2010","Z",66025000.0,"25–29 let","CZ0633","Pelhrimov","CZ063","Vysocina",1406.0,2410.0
"2010","Z",66025000.0,"25–29 let","CZ0634","Trebic","CZ063","Vysocina",2151.0,3874.0
"2010","Z",66025000.0,"25–29 let","CZ0635","Zdar nad Sazavou","CZ063","Vysocina",2272.0,3944.0
"2010","Z",66025000.0,"25–29 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",2158.0,3643.0
"2010","Z",66025000.0,"25–29 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",8805.0,13539.0
"2010","Z",66025000.0,"25–29 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",4892.0,6807.0
"2010","Z",66025000.0,"25–29 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",2375.0,4060.0
"2010","Z",66025000.0,"25–29 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",2498.0,5311.0
"2010","Z",66025000.0,"25–29 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",1923.0,2993.0
"2010","Z",66025000.0,"25–29 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",2326.0,3921.0
"2010","Z",66025000.0,"25–29 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",513.0,1301.0
"2010","Z",66025000.0,"25–29 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",5190.0,8263.0
"2010","Z",66025000.0,"25–29 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",2321.0,3840.0
"2010","Z",66025000.0,"25–29 let","CZ0714","Prerov","CZ071","Olomoucky kraj",2279.0,4439.0
"2010","Z",66025000.0,"25–29 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",2198.0,3911.0
"2010","Z",66025000.0,"25–29 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",2034.0,3583.0
"2010","Z",66025000.0,"25–29 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",2779.0,4900.0
"2010","Z",66025000.0,"25–29 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",2462.0,4839.0
