"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetreni"
"2010","Z",66015000.0,"15–19 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",10036.0
"2010","Z",66015000.0,"15–19 let","CZ0201","Benesov","CZ020","Stredocesky kraj",1016.0
"2010","Z",66015000.0,"15–19 let","CZ0202","Beroun","CZ020","Stredocesky kraj",750.0
"2010","Z",66015000.0,"15–19 let","CZ0203","Kladno","CZ020","Stredocesky kraj",1673.0
"2010","Z",66015000.0,"15–19 let","CZ0204","Kolin","CZ020","Stredocesky kraj",958.0
"2010","Z",66015000.0,"15–19 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",872.0
"2010","Z",66015000.0,"15–19 let","CZ0206","Melnik","CZ020","Stredocesky kraj",1204.0
"2010","Z",66015000.0,"15–19 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",1418.0
"2010","Z",66015000.0,"15–19 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",935.0
"2010","Z",66015000.0,"15–19 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",1407.0
"2010","Z",66015000.0,"15–19 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",1119.0
"2010","Z",66015000.0,"15–19 let","CZ020B","Pribram","CZ020","Stredocesky kraj",1168.0
"2010","Z",66015000.0,"15–19 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",594.0
"2010","Z",66015000.0,"15–19 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",2197.0
"2010","Z",66015000.0,"15–19 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",760.0
"2010","Z",66015000.0,"15–19 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",1046.0
"2010","Z",66015000.0,"15–19 let","CZ0314","Pisek","CZ031","Jihocesky kraj",632.0
"2010","Z",66015000.0,"15–19 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",473.0
"2010","Z",66015000.0,"15–19 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",716.0
"2010","Z",66015000.0,"15–19 let","CZ0317","Tabor","CZ031","Jihocesky kraj",1346.0
"2010","Z",66015000.0,"15–19 let","CZ0321","Domazlice","CZ032","Plzensky kraj",694.0
"2010","Z",66015000.0,"15–19 let","CZ0322","Klatovy","CZ032","Plzensky kraj",840.0
"2010","Z",66015000.0,"15–19 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",1801.0
"2010","Z",66015000.0,"15–19 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",624.0
"2010","Z",66015000.0,"15–19 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",890.0
"2010","Z",66015000.0,"15–19 let","CZ0326","Rokycany","CZ032","Plzensky kraj",533.0
"2010","Z",66015000.0,"15–19 let","CZ0327","Tachov","CZ032","Plzensky kraj",616.0
"2010","Z",66015000.0,"15–19 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",917.0
"2010","Z",66015000.0,"15–19 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",1171.0
"2010","Z",66015000.0,"15–19 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",990.0
"2010","Z",66015000.0,"15–19 let","CZ0421","Decin","CZ042","Ustecky kraj",1396.0
"2010","Z",66015000.0,"15–19 let","CZ0422","Chomutov","CZ042","Ustecky kraj",1273.0
"2010","Z",66015000.0,"15–19 let","CZ0423","Litomerice","CZ042","Ustecky kraj",1268.0
"2010","Z",66015000.0,"15–19 let","CZ0424","Louny","CZ042","Ustecky kraj",834.0
"2010","Z",66015000.0,"15–19 let","CZ0425","Most","CZ042","Ustecky kraj",1288.0
"2010","Z",66015000.0,"15–19 let","CZ0426","Teplice","CZ042","Ustecky kraj",1177.0
"2010","Z",66015000.0,"15–19 let","CZ0427","Usti nad Labem","CZ042","Ustecky kraj",1225.0
"2010","Z",66015000.0,"15–19 let","CZ0511","Ceska Lipa","CZ051","Liberecky kraj",1204.0
"2010","Z",66015000.0,"15–19 let","CZ0512","Jablonec nad Nisou","CZ051","Liberecky kraj",1045.0
"2010","Z",66015000.0,"15–19 let","CZ0513","Liberec","CZ051","Liberecky kraj",1670.0
"2010","Z",66015000.0,"15–19 let","CZ0514","Semily","CZ051","Liberecky kraj",820.0
"2010","Z",66015000.0,"15–19 let","CZ0521","Hradec Kralove","CZ052","Kralovehradecky kraj",1838.0
"2010","Z",66015000.0,"15–19 let","CZ0522","Jicin","CZ052","Kralovehradecky kraj",861.0
"2010","Z",66015000.0,"15–19 let","CZ0523","Nachod","CZ052","Kralovehradecky kraj",1272.0
"2010","Z",66015000.0,"15–19 let","CZ0524","Rychnov nad Kneznou","CZ052","Kralovehradecky kraj",910.0
"2010","Z",66015000.0,"15–19 let","CZ0525","Trutnov","CZ052","Kralovehradecky kraj",1263.0
"2010","Z",66015000.0,"15–19 let","CZ0531","Chrudim","CZ053","Pardubicky kraj",1208.0
"2010","Z",66015000.0,"15–19 let","CZ0532","Pardubice","CZ053","Pardubicky kraj",1768.0
"2010","Z",66015000.0,"15–19 let","CZ0533","Svitavy","CZ053","Pardubicky kraj",939.0
"2010","Z",66015000.0,"15–19 let","CZ0534","Usti nad Orlici","CZ053","Pardubicky kraj",1459.0
"2010","Z",66015000.0,"15–19 let","CZ0631","Havlickuv Brod","CZ063","Vysocina",937.0
"2010","Z",66015000.0,"15–19 let","CZ0632","Jihlava","CZ063","Vysocina",922.0
"2010","Z",66015000.0,"15–19 let","CZ0633","Pelhrimov","CZ063","Vysocina",719.0
"2010","Z",66015000.0,"15–19 let","CZ0634","Trebic","CZ063","Vysocina",1215.0
"2010","Z",66015000.0,"15–19 let","CZ0635","Zdar nad Sazavou","CZ063","Vysocina",1286.0
"2010","Z",66015000.0,"15–19 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",1038.0
"2010","Z",66015000.0,"15–19 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",3297.0
"2010","Z",66015000.0,"15–19 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",2048.0
"2010","Z",66015000.0,"15–19 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",1270.0
"2010","Z",66015000.0,"15–19 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",1290.0
"2010","Z",66015000.0,"15–19 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",853.0
"2010","Z",66015000.0,"15–19 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",1290.0
"2010","Z",66015000.0,"15–19 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",329.0
"2010","Z",66015000.0,"15–19 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",2517.0
"2010","Z",66015000.0,"15–19 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",1157.0
"2010","Z",66015000.0,"15–19 let","CZ0714","Prerov","CZ071","Olomoucky kraj",1267.0
"2010","Z",66015000.0,"15–19 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",1413.0
"2010","Z",66015000.0,"15–19 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",1096.0
"2010","Z",66015000.0,"15–19 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",1454.0
"2010","Z",66015000.0,"15–19 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",1259.0
"2010","Z",66015000.0,"15–19 let","CZ0724","Zlin","CZ072","Zlinsky kraj",1761.0
