"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetrenych","pocet_abnormalnich"
"2010","Z",66025100.0,"25–59 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",156195.0,5700.0
"2010","Z",66025100.0,"25–59 let","CZ0201","Benesov","CZ020","Stredocesky kraj",12960.0,560.0
"2010","Z",66025100.0,"25–59 let","CZ0202","Beroun","CZ020","Stredocesky kraj",11909.0,524.0
"2010","Z",66025100.0,"25–59 let","CZ0203","Kladno","CZ020","Stredocesky kraj",22581.0,974.0
"2010","Z",66025100.0,"25–59 let","CZ0204","Kolin","CZ020","Stredocesky kraj",12885.0,532.0
"2010","Z",66025100.0,"25–59 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",10114.0,308.0
"2010","Z",66025100.0,"25–59 let","CZ0206","Melnik","CZ020","Stredocesky kraj",13990.0,496.0
"2010","Z",66025100.0,"25–59 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",19273.0,986.0
"2010","Z",66025100.0,"25–59 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",12822.0,500.0
"2010","Z",66025100.0,"25–59 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",22354.0,835.0
"2010","Z",66025100.0,"25–59 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",18737.0,756.0
"2010","Z",66025100.0,"25–59 let","CZ020B","Pribram","CZ020","Stredocesky kraj",15981.0,899.0
"2010","Z",66025100.0,"25–59 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",7948.0,299.0
"2010","Z",66025100.0,"25–59 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",28403.0,1270.0
"2010","Z",66025100.0,"25–59 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",8829.0,254.0
"2010","Z",66025100.0,"25–59 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",13663.0,212.0
"2010","Z",66025100.0,"25–59 let","CZ0314","Pisek","CZ031","Jihocesky kraj",9474.0,263.0
"2010","Z",66025100.0,"25–59 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",6534.0,282.0
"2010","Z",66025100.0,"25–59 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",9268.0,430.0
"2010","Z",66025100.0,"25–59 let","CZ0317","Tabor","CZ031","Jihocesky kraj",16329.0,962.0
"2010","Z",66025100.0,"25–59 let","CZ0321","Domazlice","CZ032","Plzensky kraj",8478.0,341.0
"2010","Z",66025100.0,"25–59 let","CZ0322","Klatovy","CZ032","Plzensky kraj",10929.0,431.0
"2010","Z",66025100.0,"25–59 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",24238.0,1126.0
"2010","Z",66025100.0,"25–59 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",8018.0,307.0
"2010","Z",66025100.0,"25–59 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",10773.0,436.0
"2010","Z",66025100.0,"25–59 let","CZ0326","Rokycany","CZ032","Plzensky kraj",6093.0,204.0
"2010","Z",66025100.0,"25–59 let","CZ0327","Tachov","CZ032","Plzensky kraj",7451.0,334.0
"2010","Z",66025100.0,"25–59 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",11209.0,638.0
"2010","Z",66025100.0,"25–59 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",14112.0,378.0
"2010","Z",66025100.0,"25–59 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",11968.0,492.0
"2010","Z",66025100.0,"25–59 let","CZ0421","Decin","CZ042","Ustecky kraj",15085.0,578.0
"2010","Z",66025100.0,"25–59 let","CZ0422","Chomutov","CZ042","Ustecky kraj",16229.0,625.0
"2010","Z",66025100.0,"25–59 let","CZ0423","Litomerice","CZ042","Ustecky kraj",16214.0,513.0
"2010","Z",66025100.0,"25–59 let","CZ0424","Louny","CZ042","Ustecky kraj",10253.0,268.0
"2010","Z",66025100.0,"25–59 let","CZ0425","Most","CZ042","Ustecky kraj",14680.0,822.0
"2010","Z",66025100.0,"25–59 let","CZ0426","Teplice","CZ042","Ustecky kraj",14056.0,709.0
"2010","Z",66025100.0,"25–59 let","CZ0427","Usti nad Labem","CZ042","Ustecky kraj",14875.0,360.0
"2010","Z",66025100.0,"25–59 let","CZ0511","Ceska Lipa","CZ051","Liberecky kraj",13205.0,717.0
"2010","Z",66025100.0,"25–59 let","CZ0512","Jablonec nad Nisou","CZ051","Liberecky kraj",12636.0,644.0
"2010","Z",66025100.0,"25–59 let","CZ0513","Liberec","CZ051","Liberecky kraj",21411.0,891.0
"2010","Z",66025100.0,"25–59 let","CZ0514","Semily","CZ051","Liberecky kraj",10211.0,750.0
"2010","Z",66025100.0,"25–59 let","CZ0521","Hradec Kralove","CZ052","Kralovehradecky kraj",22793.0,840.0
"2010","Z",66025100.0,"25–59 let","CZ0522","Jicin","CZ052","Kralovehradecky kraj",11098.0,466.0
"2010","Z",66025100.0,"25–59 let","CZ0523","Nachod","CZ052","Kralovehradecky kraj",16032.0,499.0
"2010","Z",66025100.0,"25–59 let","CZ0524","Rychnov nad Kneznou","CZ052","Kralovehradecky kraj",11082.0,349.0
"2010","Z",66025100.0,"25–59 let","CZ0525","Trutnov","CZ052","Kralovehradecky kraj",15417.0,692.0
"2010","Z",66025100.0,"25–59 let","CZ0531","Chrudim","CZ053","Pardubicky kraj",15468.0,477.0
"2010","Z",66025100.0,"25–59 let","CZ0532","Pardubice","CZ053","Pardubicky kraj",24124.0,807.0
"2010","Z",66025100.0,"25–59 let","CZ0533","Svitavy","CZ053","Pardubicky kraj",13570.0,627.0
"2010","Z",66025100.0,"25–59 let","CZ0534","Usti nad Orlici","CZ053","Pardubicky kraj",19303.0,711.0
"2010","Z",66025100.0,"25–59 let","CZ0631","Havlickuv Brod","CZ063","Vysocina",12528.0,338.0
"2010","Z",66025100.0,"25–59 let","CZ0632","Jihlava","CZ063","Vysocina",15072.0,669.0
"2010","Z",66025100.0,"25–59 let","CZ0633","Pelhrimov","CZ063","Vysocina",9801.0,175.0
"2010","Z",66025100.0,"25–59 let","CZ0634","Trebic","CZ063","Vysocina",15098.0,571.0
"2010","Z",66025100.0,"25–59 let","CZ0635","Zdar nad Sazavou","CZ063","Vysocina",15803.0,531.0
"2010","Z",66025100.0,"25–59 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",13373.0,701.0
"2010","Z",66025100.0,"25–59 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",50327.0,4136.0
"2010","Z",66025100.0,"25–59 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",29157.0,2288.0
"2010","Z",66025100.0,"25–59 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",15806.0,776.0
"2010","Z",66025100.0,"25–59 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",16536.0,724.0
"2010","Z",66025100.0,"25–59 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",11369.0,677.0
"2010","Z",66025100.0,"25–59 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",14694.0,669.0
"2010","Z",66025100.0,"25–59 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",3854.0,228.0
"2010","Z",66025100.0,"25–59 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",33527.0,2078.0
"2010","Z",66025100.0,"25–59 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",15158.0,694.0
"2010","Z",66025100.0,"25–59 let","CZ0714","Prerov","CZ071","Olomoucky kraj",16099.0,718.0
"2010","Z",66025100.0,"25–59 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",16551.0,751.0
"2010","Z",66025100.0,"25–59 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",13930.0,354.0
"2010","Z",66025100.0,"25–59 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",18607.0,361.0
"2010","Z",66025100.0,"25–59 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",17610.0,921.0
"2010","Z",66025100.0,"25–59 let","CZ0724","Zlin","CZ072","Zlinsky kraj",24606.0,1012.0
"2010","Z",66025100.0,"25–59 let","CZ0801","Bruntal","CZ080","Moravskoslezsky kraj",12545.0,899.0
"2010","Z",66025100.0,"25–59 let","CZ0802","Frydek-Mistek","CZ080","Moravskoslezsky kraj",25621.0,1581.0
"2010","Z",66025100.0,"25–59 let","CZ0803","Karvina","CZ080","Moravskoslezsky kraj",17973.0,1183.0
"2010","Z",66025100.0,"25–59 let","CZ0804","Novy Jicin","CZ080","Moravskoslezsky kraj",18102.0,1087.0
"2010","Z",66025100.0,"25–59 let","CZ0805","Opava","CZ080","Moravskoslezsky kraj",22545.0,2080.0
"2010","Z",66025100.0,"25–59 let","CZ0806","Ostrava-mesto","CZ080","Moravskoslezsky kraj",35459.0,3107.0
