"kraj_kod","umrti_rok","umrti_vek_kategorie_kod","pocet_umrti"
"CZ020","2010",66080100.0,4
"CZ020","2010",66055100.0,7
"CZ071","2010",66055100.0,4
"CZ052","2010",66070100.0,3
"CZ080","2010",66070100.0,2
"CZ080","2010",66035000.0,2
"CZ071","2010",66045000.0,4
"CZ031","2010",66065100.0,3
"CZ080","2010",66055100.0,4
"CZ020","2010",66060100.0,11
"CZ072","2010",66075100.0,4
"CZ010","2010",66050100.0,5
"CZ063","2010",66070100.0,4
"CZ042","2010",66055100.0,9
"CZ052","2010",66035000.0,2
"CZ041","2010",66075100.0,2
"CZ064","2010",66055100.0,8
"CZ071","2010",66040000.0,3
"CZ010","2010",66045000.0,9
"CZ064","2010",66075100.0,3
"CZ053","2010",66060100.0,2
"CZ053","2010",66075100.0,2
"CZ031","2010",66050100.0,2
"CZ020","2010",66045000.0,3
"CZ080","2010",66040000.0,4
"CZ053","2010",66080100.0,2
"CZ080","2010",66060100.0,6
"CZ052","2010",66060100.0,1
"CZ080","2010",66050100.0,4
"CZ064","2010",66080100.0,2
"CZ042","2010",66050100.0,5
"CZ064","2010",66070100.0,3
"CZ031","2010",66070100.0,2
"CZ052","2010",66045000.0,1
"CZ080","2010",66086000.0,2
"CZ031","2010",66080100.0,2
"CZ042","2010",66070100.0,1
"CZ080","2010",66080100.0,4
"CZ053","2010",66055100.0,3
"CZ020","2010",66035000.0,1
"CZ020","2010",66075100.0,5
"CZ051","2010",66030000.0,1
"CZ020","2010",66065100.0,3
"CZ072","2010",66060100.0,3
"CZ020","2010",66040000.0,2
"CZ080","2010",66065100.0,4
"CZ052","2010",66040000.0,1
"CZ031","2010",66060100.0,4
"CZ010","2010",66035000.0,2
"CZ080","2010",66045000.0,5
"CZ072","2010",66080100.0,3
"CZ031","2010",66086000.0,3
"CZ041","2010",66050100.0,1
"CZ041","2010",66080100.0,1
"CZ063","2010",66086000.0,3
"CZ032","2010",66080100.0,4
"CZ042","2010",66086000.0,2
"CZ041","2010",66040000.0,1
"CZ072","2010",66086000.0,2
"CZ052","2010",66075100.0,1
"CZ063","2010",66060100.0,1
"CZ071","2010",66065100.0,4
"CZ064","2010",66045000.0,3
