rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,populace
2010,Z,66015019,15–19 let,CZ0100,Praha,CZ010,Hlavní město Praha,9856,27002
2010,Z,66015019,15–19 let,CZ0201,Benešov,CZ020,Středočeský kraj,986,2635
2010,Z,66015019,15–19 let,CZ0202,Beroun,CZ020,Středočeský kraj,733,2122
2010,Z,66015019,15–19 let,CZ0203,Kladno,CZ020,Středočeský kraj,1641,4294
2010,Z,66015019,15–19 let,CZ0204,Kolín,CZ020,Středočeský kraj,941,2417
2010,Z,66015019,15–19 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,861,2121
2010,Z,66015019,15–19 let,CZ0206,Mělník,CZ020,Středočeský kraj,1174,2763
2010,Z,66015019,15–19 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,1399,3245
2010,Z,66015019,15–19 let,CZ0208,Nymburk,CZ020,Středočeský kraj,916,2518
2010,Z,66015019,15–19 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,1382,3633
2010,Z,66015019,15–19 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,1098,3062
2010,Z,66015019,15–19 let,CZ020B,Příbram,CZ020,Středočeský kraj,1153,3003
2010,Z,66015019,15–19 let,CZ020C,Rakovník,CZ020,Středočeský kraj,584,1554
2010,Z,66015019,15–19 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,2148,5103
2010,Z,66015019,15–19 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,742,1766
2010,Z,66015019,15–19 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1031,2714
2010,Z,66015019,15–19 let,CZ0314,Písek,CZ031,Jihočeský kraj,614,1866
2010,Z,66015019,15–19 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,457,1453
2010,Z,66015019,15–19 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,697,1881
2010,Z,66015019,15–19 let,CZ0317,Tábor,CZ031,Jihočeský kraj,1260,2819
2010,Z,66015019,15–19 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,678,1699
2010,Z,66015019,15–19 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,829,2392
2010,Z,66015019,15–19 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,1760,4154
2010,Z,66015019,15–19 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,608,1662
2010,Z,66015019,15–19 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,869,2113
2010,Z,66015019,15–19 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,524,1249
2010,Z,66015019,15–19 let,CZ0327,Tachov,CZ032,Plzeňský kraj,596,1551
2010,Z,66015019,15–19 let,CZ0411,Cheb,CZ041,Karlovarský kraj,900,2573
2010,Z,66015019,15–19 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,1159,3119
2010,Z,66015019,15–19 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,977,2834
2010,Z,66015019,15–19 let,CZ0421,Děčín,CZ042,Ústecký kraj,1366,3793
2010,Z,66015019,15–19 let,CZ0422,Chomutov,CZ042,Ústecký kraj,1260,3541
2010,Z,66015019,15–19 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,1255,3294
2010,Z,66015019,15–19 let,CZ0424,Louny,CZ042,Ústecký kraj,817,2477
2010,Z,66015019,15–19 let,CZ0425,Most,CZ042,Ústecký kraj,1265,3369
2010,Z,66015019,15–19 let,CZ0426,Teplice,CZ042,Ústecký kraj,1154,3664
2010,Z,66015019,15–19 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,1207,3422
2010,Z,66015019,15–19 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,1161,3016
2010,Z,66015019,15–19 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,1020,2476
2010,Z,66015019,15–19 let,CZ0513,Liberec,CZ051,Liberecký kraj,1621,4572
2010,Z,66015019,15–19 let,CZ0514,Semily,CZ051,Liberecký kraj,797,2130
2010,Z,66015019,15–19 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,1798,4338
2010,Z,66015019,15–19 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,848,2207
2010,Z,66015019,15–19 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,1243,3163
2010,Z,66015019,15–19 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,892,2254
2010,Z,66015019,15–19 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,1237,3237
2010,Z,66015019,15–19 let,CZ0531,Chrudim,CZ053,Pardubický kraj,1183,3011
2010,Z,66015019,15–19 let,CZ0532,Pardubice,CZ053,Pardubický kraj,1719,4217
2010,Z,66015019,15–19 let,CZ0533,Svitavy,CZ053,Pardubický kraj,930,3123
2010,Z,66015019,15–19 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,1442,4119
2010,Z,66015019,15–19 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,930,2672
2010,Z,66015019,15–19 let,CZ0632,Jihlava,CZ063,Vysočina,902,3119
2010,Z,66015019,15–19 let,CZ0633,Pelhřimov,CZ063,Vysočina,713,2012
