rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,pocet_abnormalnich
2010,Z,66025059,25–59 let,CZ0100,Praha,CZ010,Hlavní město Praha,156195,5700
2010,Z,66025059,25–59 let,CZ0201,Benešov,CZ020,Středočeský kraj,12960,560
2010,Z,66025059,25–59 let,CZ0202,Beroun,CZ020,Středočeský kraj,11909,524
2010,Z,66025059,25–59 let,CZ0203,Kladno,CZ020,Středočeský kraj,22581,974
2010,Z,66025059,25–59 let,CZ0204,Kolín,CZ020,Středočeský kraj,12885,532
2010,Z,66025059,25–59 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,10114,308
2010,Z,66025059,25–59 let,CZ0206,Mělník,CZ020,Středočeský kraj,13990,496
2010,Z,66025059,25–59 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,19273,986
2010,Z,66025059,25–59 let,CZ0208,Nymburk,CZ020,Středočeský kraj,12822,500
2010,Z,66025059,25–59 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,22354,835
2010,Z,66025059,25–59 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,18737,756
2010,Z,66025059,25–59 let,CZ020B,Příbram,CZ020,Středočeský kraj,15981,899
2010,Z,66025059,25–59 let,CZ020C,Rakovník,CZ020,Středočeský kraj,7948,299
2010,Z,66025059,25–59 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,28403,1270
2010,Z,66025059,25–59 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,8829,254
2010,Z,66025059,25–59 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,13663,212
2010,Z,66025059,25–59 let,CZ0314,Písek,CZ031,Jihočeský kraj,9474,263
2010,Z,66025059,25–59 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,6534,282
2010,Z,66025059,25–59 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,9268,430
2010,Z,66025059,25–59 let,CZ0317,Tábor,CZ031,Jihočeský kraj,16329,962
2010,Z,66025059,25–59 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,8478,341
2010,Z,66025059,25–59 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,10929,431
2010,Z,66025059,25–59 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,24238,1126
2010,Z,66025059,25–59 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,8018,307
2010,Z,66025059,25–59 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,10773,436
2010,Z,66025059,25–59 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,6093,204
