rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetreni
2010,Z,66015019,15–19 let,CZ0100,Praha,CZ010,Hlavní město Praha,10036
2010,Z,66015019,15–19 let,CZ0201,Benešov,CZ020,Středočeský kraj,1016
2010,Z,66015019,15–19 let,CZ0202,Beroun,CZ020,Středočeský kraj,750
2010,Z,66015019,15–19 let,CZ0203,Kladno,CZ020,Středočeský kraj,1673
2010,Z,66015019,15–19 let,CZ0204,Kolín,CZ020,Středočeský kraj,958
2010,Z,66015019,15–19 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,872
2010,Z,66015019,15–19 let,CZ0206,Mělník,CZ020,Středočeský kraj,1204
2010,Z,66015019,15–19 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,1418
2010,Z,66015019,15–19 let,CZ0208,Nymburk,CZ020,Středočeský kraj,935
2010,Z,66015019,15–19 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,1407
2010,Z,66015019,15–19 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,1119
2010,Z,66015019,15–19 let,CZ020B,Příbram,CZ020,Středočeský kraj,1168
2010,Z,66015019,15–19 let,CZ020C,Rakovník,CZ020,Středočeský kraj,594
2010,Z,66015019,15–19 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,2197
2010,Z,66015019,15–19 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,760
2010,Z,66015019,15–19 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1046
2010,Z,66015019,15–19 let,CZ0314,Písek,CZ031,Jihočeský kraj,632
2010,Z,66015019,15–19 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,473
2010,Z,66015019,15–19 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,716
2010,Z,66015019,15–19 let,CZ0317,Tábor,CZ031,Jihočeský kraj,1346
2010,Z,66015019,15–19 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,694
2010,Z,66015019,15–19 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,840
2010,Z,66015019,15–19 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,1801
2010,Z,66015019,15–19 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,624
2010,Z,66015019,15–19 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,890
2010,Z,66015019,15–19 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,533
2010,Z,66015019,15–19 let,CZ0327,Tachov,CZ032,Plzeňský kraj,616
2010,Z,66015019,15–19 let,CZ0411,Cheb,CZ041,Karlovarský kraj,917
2010,Z,66015019,15–19 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,1171
2010,Z,66015019,15–19 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,990
2010,Z,66015019,15–19 let,CZ0421,Děčín,CZ042,Ústecký kraj,1396
2010,Z,66015019,15–19 let,CZ0422,Chomutov,CZ042,Ústecký kraj,1273
2010,Z,66015019,15–19 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,1268
2010,Z,66015019,15–19 let,CZ0424,Louny,CZ042,Ústecký kraj,834
2010,Z,66015019,15–19 let,CZ0425,Most,CZ042,Ústecký kraj,1288
2010,Z,66015019,15–19 let,CZ0426,Teplice,CZ042,Ústecký kraj,1177
2010,Z,66015019,15–19 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,1225
2010,Z,66015019,15–19 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,1204
2010,Z,66015019,15–19 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,1045
2010,Z,66015019,15–19 let,CZ0513,Liberec,CZ051,Liberecký kraj,1670
2010,Z,66015019,15–19 let,CZ0514,Semily,CZ051,Liberecký kraj,820
2010,Z,66015019,15–19 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,1838
2010,Z,66015019,15–19 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,861
2010,Z,66015019,15–19 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,1272
2010,Z,66015019,15–19 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,910
2010,Z,66015019,15–19 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,1263
2010,Z,66015019,15–19 let,CZ0531,Chrudim,CZ053,Pardubický kraj,1208
2010,Z,66015019,15–19 let,CZ0532,Pardubice,CZ053,Pardubický kraj,1768
2010,Z,66015019,15–19 let,CZ0533,Svitavy,CZ053,Pardubický kraj,939
2010,Z,66015019,15–19 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,1459
2010,Z,66015019,15–19 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,937
2010,Z,66015019,15–19 let,CZ0632,Jihlava,CZ063,Vysočina,922
2010,Z,66015019,15–19 let,CZ0633,Pelhřimov,CZ063,Vysočina,719
2010,Z,66015019,15–19 let,CZ0634,Třebíč,CZ063,Vysočina,1215
2010,Z,66015019,15–19 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,1286
2010,Z,66015019,15–19 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,1038
2010,Z,66015019,15–19 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,3297
2010,Z,66015019,15–19 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,2048
2010,Z,66015019,15–19 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,1270
2010,Z,66015019,15–19 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,1290
2010,Z,66015019,15–19 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,853
2010,Z,66015019,15–19 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,1290
2010,Z,66015019,15–19 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,329
2010,Z,66015019,15–19 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,2517
2010,Z,66015019,15–19 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,1157
2010,Z,66015019,15–19 let,CZ0714,Přerov,CZ071,Olomoucký kraj,1267
2010,Z,66015019,15–19 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,1413
2010,Z,66015019,15–19 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,1096
2010,Z,66015019,15–19 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,1454
2010,Z,66015019,15–19 let,CZ0723,Vsetín,CZ072,Zlínský kraj,1259
2010,Z,66015019,15–19 let,CZ0724,Zlín,CZ072,Zlínský kraj,1761
2010,Z,66015019,15–19 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,1069
2010,Z,66015019,15–19 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,1842
2010,Z,66015019,15–19 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,1316
2010,Z,66015019,15–19 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,1461
2010,Z,66015019,15–19 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,1559
2010,Z,66015019,15–19 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,2880
2010,Z,66020024,20–24 let,CZ0100,Praha,CZ010,Hlavní město Praha,23264
2010,Z,66020024,20–24 let,CZ0201,Benešov,CZ020,Středočeský kraj,1728
2010,Z,66020024,20–24 let,CZ0202,Beroun,CZ020,Středočeský kraj,1594
2010,Z,66020024,20–24 let,CZ0203,Kladno,CZ020,Středočeský kraj,3115
2010,Z,66020024,20–24 let,CZ0204,Kolín,CZ020,Středočeský kraj,1884
2010,Z,66020024,20–24 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,1490
2010,Z,66020024,20–24 let,CZ0206,Mělník,CZ020,Středočeský kraj,2072
2010,Z,66020024,20–24 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,2665
2010,Z,66020024,20–24 let,CZ0208,Nymburk,CZ020,Středočeský kraj,1742
2010,Z,66020024,20–24 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,2823
2010,Z,66020024,20–24 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,2212
2010,Z,66020024,20–24 let,CZ020B,Příbram,CZ020,Středočeský kraj,2146
2010,Z,66020024,20–24 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1057
2010,Z,66020024,20–24 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,4199
2010,Z,66020024,20–24 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1227
2010,Z,66020024,20–24 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1581
2010,Z,66020024,20–24 let,CZ0314,Písek,CZ031,Jihočeský kraj,1275
2010,Z,66020024,20–24 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,930
2010,Z,66020024,20–24 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1312
2010,Z,66020024,20–24 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2258
2010,Z,66020024,20–24 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1193
2010,Z,66020024,20–24 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1466
2010,Z,66020024,20–24 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,3737
2010,Z,66020024,20–24 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1087
2010,Z,66020024,20–24 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,1518
2010,Z,66020024,20–24 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,926
2010,Z,66020024,20–24 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1088
2010,Z,66020024,20–24 let,CZ0411,Cheb,CZ041,Karlovarský kraj,1502
2010,Z,66020024,20–24 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,1994
2010,Z,66020024,20–24 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,1683
2010,Z,66020024,20–24 let,CZ0421,Děčín,CZ042,Ústecký kraj,2136
2010,Z,66020024,20–24 let,CZ0422,Chomutov,CZ042,Ústecký kraj,2301
2010,Z,66020024,20–24 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,2152
2010,Z,66020024,20–24 let,CZ0424,Louny,CZ042,Ústecký kraj,1552
2010,Z,66020024,20–24 let,CZ0425,Most,CZ042,Ústecký kraj,2027
2010,Z,66020024,20–24 let,CZ0426,Teplice,CZ042,Ústecký kraj,2071
2010,Z,66020024,20–24 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,2168
2010,Z,66020024,20–24 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,2041
2010,Z,66020024,20–24 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,1644
2010,Z,66020024,20–24 let,CZ0513,Liberec,CZ051,Liberecký kraj,3333
2010,Z,66020024,20–24 let,CZ0514,Semily,CZ051,Liberecký kraj,1399
2010,Z,66020024,20–24 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,3266
