rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetreni,populace
2012,Z,66015019,15–19 let,CZ0100,Praha,CZ010,Hlavní město Praha,9747,23466
2012,Z,66015019,15–19 let,CZ0201,Benešov,CZ020,Středočeský kraj,1024,2277
2012,Z,66015019,15–19 let,CZ0202,Beroun,CZ020,Středočeský kraj,843,1883
2012,Z,66015019,15–19 let,CZ0203,Kladno,CZ020,Středočeský kraj,1815,3739
2012,Z,66015019,15–19 let,CZ0204,Kolín,CZ020,Středočeský kraj,1058,2194
2012,Z,66015019,15–19 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,902,1847
2012,Z,66015019,15–19 let,CZ0206,Mělník,CZ020,Středočeský kraj,1236,2504
2012,Z,66015019,15–19 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,1374,2825
2012,Z,66015019,15–19 let,CZ0208,Nymburk,CZ020,Středočeský kraj,1002,2241
2012,Z,66015019,15–19 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,1512,3495
2012,Z,66015019,15–19 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,1201,2910
2012,Z,66015019,15–19 let,CZ020B,Příbram,CZ020,Středočeský kraj,1220,2740
2012,Z,66015019,15–19 let,CZ020C,Rakovník,CZ020,Středočeský kraj,635,1351
2012,Z,66015019,15–19 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,2247,4414
2012,Z,66015019,15–19 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,792,1568
2012,Z,66015019,15–19 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1169,2437
2012,Z,66015019,15–19 let,CZ0314,Písek,CZ031,Jihočeský kraj,728,1708
2012,Z,66015019,15–19 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,520,1247
2012,Z,66015019,15–19 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,803,1697
2012,Z,66015019,15–19 let,CZ0317,Tábor,CZ031,Jihočeský kraj,1317,2452
2012,Z,66015019,15–19 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,736,1467
2012,Z,66015019,15–19 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1006,2132
2012,Z,66015019,15–19 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,1937,3650
2012,Z,66015019,15–19 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,690,1438
2012,Z,66015019,15–19 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,907,1887
2012,Z,66015019,15–19 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,575,1101
2012,Z,66015019,15–19 let,CZ0327,Tachov,CZ032,Plzeňský kraj,716,1350
2012,Z,66015019,15–19 let,CZ0411,Cheb,CZ041,Karlovarský kraj,1042,2241
2012,Z,66015019,15–19 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,1397,2685
2012,Z,66015019,15–19 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,1177,2434
2012,Z,66015019,15–19 let,CZ0421,Děčín,CZ042,Ústecký kraj,1618,3373
2012,Z,66015019,15–19 let,CZ0422,Chomutov,CZ042,Ústecký kraj,1496,3186
2012,Z,66015019,15–19 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,1391,2890
2012,Z,66015019,15–19 let,CZ0424,Louny,CZ042,Ústecký kraj,1024,2250
2012,Z,66015019,15–19 let,CZ0425,Most,CZ042,Ústecký kraj,1440,2904
2012,Z,66015019,15–19 let,CZ0426,Teplice,CZ042,Ústecký kraj,1462,3236
2012,Z,66015019,15–19 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,1428,3010
2012,Z,66015019,15–19 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,1360,2687
2012,Z,66015019,15–19 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,1121,2126
2012,Z,66015019,15–19 let,CZ0513,Liberec,CZ051,Liberecký kraj,2018,4073
2012,Z,66015019,15–19 let,CZ0514,Semily,CZ051,Liberecký kraj,850,1840
2012,Z,66015019,15–19 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,1815,3752
2012,Z,66015019,15–19 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,928,1909
2012,Z,66015019,15–19 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,1352,2899
2012,Z,66015019,15–19 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,979,2030
2012,Z,66015019,15–19 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,1431,2891
2012,Z,66015019,15–19 let,CZ0531,Chrudim,CZ053,Pardubický kraj,1274,2673
2012,Z,66015019,15–19 let,CZ0532,Pardubice,CZ053,Pardubický kraj,1745,3756
2012,Z,66015019,15–19 let,CZ0533,Svitavy,CZ053,Pardubický kraj,1102,2797
2012,Z,66015019,15–19 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,1631,3606
2012,Z,66015019,15–19 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,1052,2394
2012,Z,66015019,15–19 let,CZ0632,Jihlava,CZ063,Vysočina,1054,2740
2012,Z,66015019,15–19 let,CZ0633,Pelhřimov,CZ063,Vysočina,784,1783
2012,Z,66015019,15–19 let,CZ0634,Třebíč,CZ063,Vysočina,1345,2991
2012,Z,66015019,15–19 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,1376,3370
2012,Z,66015019,15–19 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,1169,2739
2012,Z,66015019,15–19 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,3316,7476
2012,Z,66015019,15–19 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,2149,5042
2012,Z,66015019,15–19 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,1408,2840
2012,Z,66015019,15–19 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,1464,3984
2012,Z,66015019,15–19 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,922,2263
2012,Z,66015019,15–19 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,1408,3025
2012,Z,66015019,15–19 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,381,1029
2012,Z,66015019,15–19 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,2702,5402
2012,Z,66015019,15–19 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,1171,2608
2012,Z,66015019,15–19 let,CZ0714,Přerov,CZ071,Olomoucký kraj,1515,3345
2012,Z,66015019,15–19 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,1536,3182
2012,Z,66015019,15–19 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,1194,2632
2012,Z,66015019,15–19 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,1547,3559
2012,Z,66015019,15–19 let,CZ0723,Vsetín,CZ072,Zlínský kraj,1379,3700
2012,Z,66015019,15–19 let,CZ0724,Zlín,CZ072,Zlínský kraj,1894,4465
2012,Z,66015019,15–19 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,1197,2586
2012,Z,66015019,15–19 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,2108,5482
2012,Z,66015019,15–19 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,2105,6702
2012,Z,66015019,15–19 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,1525,3928
2012,Z,66015019,15–19 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,1759,4439
2012,Z,66015019,15–19 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,3271,7737
2012,Z,66020024,20–24 let,CZ0100,Praha,CZ010,Hlavní město Praha,29611,35544
2012,Z,66020024,20–24 let,CZ0201,Benešov,CZ020,Středočeský kraj,2311,2850
2012,Z,66020024,20–24 let,CZ0202,Beroun,CZ020,Středočeský kraj,2147,2382
2012,Z,66020024,20–24 let,CZ0203,Kladno,CZ020,Středočeský kraj,4020,4645
2012,Z,66020024,20–24 let,CZ0204,Kolín,CZ020,Středočeský kraj,2358,2807
2012,Z,66020024,20–24 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,1884,2260
2012,Z,66020024,20–24 let,CZ0206,Mělník,CZ020,Středočeský kraj,2704,3077
2012,Z,66020024,20–24 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,3251,3685
2012,Z,66020024,20–24 let,CZ0208,Nymburk,CZ020,Středočeský kraj,2358,2739
2012,Z,66020024,20–24 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,3583,4082
2012,Z,66020024,20–24 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,2819,3389
2012,Z,66020024,20–24 let,CZ020B,Příbram,CZ020,Středočeský kraj,2735,3430
2012,Z,66020024,20–24 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1327,1695
2012,Z,66020024,20–24 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,5232,5859
2012,Z,66020024,20–24 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1560,1937
2012,Z,66020024,20–24 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,2186,2886
2012,Z,66020024,20–24 let,CZ0314,Písek,CZ031,Jihočeský kraj,1641,2138
2012,Z,66020024,20–24 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,1259,1656
2012,Z,66020024,20–24 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1720,2113
2012,Z,66020024,20–24 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2713,3139
2012,Z,66020024,20–24 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1508,1875
2012,Z,66020024,20–24 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1964,2565
2012,Z,66020024,20–24 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,4805,5228
2012,Z,66020024,20–24 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1454,1841
2012,Z,66020024,20–24 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,2049,2378
2012,Z,66020024,20–24 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,1179,1434
2012,Z,66020024,20–24 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1352,1787
2012,Z,66020024,20–24 let,CZ0411,Cheb,CZ041,Karlovarský kraj,2084,2866
2012,Z,66020024,20–24 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,2711,3487
2012,Z,66020024,20–24 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,2269,3055
2012,Z,66020024,20–24 let,CZ0421,Děčín,CZ042,Ústecký kraj,3029,4038
2012,Z,66020024,20–24 let,CZ0422,Chomutov,CZ042,Ústecký kraj,3139,4027
2012,Z,66020024,20–24 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,2964,3547
2012,Z,66020024,20–24 let,CZ0424,Louny,CZ042,Ústecký kraj,2083,2694
2012,Z,66020024,20–24 let,CZ0425,Most,CZ042,Ústecký kraj,2784,3713
2012,Z,66020024,20–24 let,CZ0426,Teplice,CZ042,Ústecký kraj,2926,3863
2012,Z,66020024,20–24 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,3104,3696
2012,Z,66020024,20–24 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,2628,3358
2012,Z,66020024,20–24 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,2269,2703
2012,Z,66020024,20–24 let,CZ0513,Liberec,CZ051,Liberecký kraj,4449,5266
2012,Z,66020024,20–24 let,CZ0514,Semily,CZ051,Liberecký kraj,1888,2374
2012,Z,66020024,20–24 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,4213,4881
2012,Z,66020024,20–24 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,1887,2448
2012,Z,66020024,20–24 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,2736,3509
2012,Z,66020024,20–24 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,1977,2518
2012,Z,66020024,20–24 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,2865,3584
2012,Z,66020024,20–24 let,CZ0531,Chrudim,CZ053,Pardubický kraj,2746,3433
2012,Z,66020024,20–24 let,CZ0532,Pardubice,CZ053,Pardubický kraj,4312,4909
2012,Z,66020024,20–24 let,CZ0533,Svitavy,CZ053,Pardubický kraj,2576,3339
2012,Z,66020024,20–24 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,3553,4546
2012,Z,66020024,20–24 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,2358,2922
2012,Z,66020024,20–24 let,CZ0632,Jihlava,CZ063,Vysočina,2815,3463
2012,Z,66020024,20–24 let,CZ0633,Pelhřimov,CZ063,Vysočina,1730,2230
2012,Z,66020024,20–24 let,CZ0634,Třebíč,CZ063,Vysočina,2903,3877
2012,Z,66020024,20–24 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,3135,4010
2012,Z,66020024,20–24 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,2670,3318
2012,Z,66020024,20–24 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,9692,10919
2012,Z,66020024,20–24 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,5404,6221
2012,Z,66020024,20–24 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,2984,3599
2012,Z,66020024,20–24 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,3308,4961
