"Ukazatel","IndicatorType","Druh zdravotní péče-Úroveň 1","HC.HCU1","Druh zdravotní péče-Úroveň 2","HC.HCU2","Druh zdravotní péče-Úroveň 3","HC.HCU3","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2010","2010","301598.984"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2011","2011","306038.2784"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2012","2012","310515.9865"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2013","2013","310520.9778"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2014","2014","330065.3232"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2015","2015","339278.4772"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2016","2016","354635.0311"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2017","2017","375083.263"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2018","2018","403659.5334"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2019","2019","440931.6234"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2020","2020","522797.6729"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2021","2021","577424.9378"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Celkem","0","","","Česko","CZ","2022","2022","597168.6159"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2010","2010","257151.6197"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2011","2011","259789.3991"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2012","2012","263827.3281"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2013","2013","263318.7154"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","","","Česko","CZ","2014","2014","278293.077"
