"Ukazatel","IndicatorType","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Poskytovatel zdravotní péče-Úroveň 1","HP.HPU1","Poskytovatel zdravotní péče-Úroveň 2","HP.HPU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2010","2010","301598.984"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2011","2011","306038.2784"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2012","2012","310515.9865"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2013","2013","310520.9778"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2014","2014","330065.3232"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2015","2015","339278.4772"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2016","2016","354635.0311"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2017","2017","375083.263"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2018","2018","403659.5334"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2019","2019","440931.6234"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2020","2020","522797.6729"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2021","2021","577424.9378"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Celkem","0","","","Česko","CZ","2022","2022","597168.6159"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","","","Česko","CZ","2010","2010","130303.993"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","","","Česko","CZ","2011","2011","132066.7091"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","","","Česko","CZ","2012","2012","135263.9609"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","","","Česko","CZ","2013","2013","134739.3049"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","","","Česko","CZ","2014","2014","144509.6659"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","","","Česko","CZ","2015","2015","148917.1651"
